Family,Species,Size ,Source,Note
Amphicyonidae,Adilophontes brachykolos,137.5,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Amphicyon frendens,432,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Amphicyon galushai,191,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Amphicyon ingens,579,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Amphicyon major,209,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Borocyon neomexicanus,87,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Daphoenodon falkenbachi,137,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Daphoenodon skinneri,40,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Daphoenus hartshornianus,11,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Daphoenus vetus,27,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Ischyrocyon gidleyi,250,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Paradaphoenus cuspigerus,4,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Pliocyon medius,133,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Pseudocyon sansaniensis,245,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Ysengrinia americana,185,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Barbourofelidae,Barbourofelis morrisi,122,Anyonge (1993) Journal of Zoology 231 339-350,Median of measurements bsaed on equation for felids)
Felidae,Amphimachairodus coloradensis,172,Anyonge (1993) Journal of Zoology 231 339-350,Median of measurements bsaed on equation for felids)
Felidae,Homotherium serum,185,Anyonge (1993) Journal of Zoology 231 339-350,Median of measurements bsaed on equation for felids)
Felidae,Panthera atrox,374,Anyonge (1993) Journal of Zoology 231 339-350,Median of measurements bsaed on equation for felids)
Felidae,Smilodon fatalis ,391,Anyonge (1993) Journal of Zoology 231 339-350,Median of measurements bsaed on equation for felids)
Miacidae,Miacis petilus,1.3,Heinrich & Houde (2006) Journal of Vertebrate Paleontology 26 422-435,Reported value
Miacidae,Vulpavus canavus,4.5,Heinrich & Houde (2006) Journal of Vertebrate Paleontology 26 422-435,Reported mean
Viverravidae,Didymictis protenus,5,Heinrich & Houde (2006) Journal of Vertebrate Paleontology 26 422-435,Reported mean
Viverravidae,Viverravus acutus,0.24,Heinrich & Houde (2006) Journal of Vertebrate Paleontology 26 422-435,Median of measurements for Dataset III
