Family,Genus,Species,Data_type,Size_sd,Size_Est,P4_sd,P4_Est,m1_sd,m1_Est
Ailuridae,Ailurus,fulgens,Measured,0,0.69,0,0.881,0.072,0.998
Ailuridae,Alopecocyon,getti,Inferred_Phylogeny,0.519,0.788,0.165,0.988,0.163,1.067
Ailuridae,Alopecocyon,goeriachensis,Inferred_teeth,0.331,0.715,0.057,0.959,0,1.035
Ailuridae,Alopecocyon,leardi,Inferred_teeth,0.342,0.973,0,1.064,0.05,1.146
Ailuridae,Alopecocyon,parverratis,Inferred_teeth,0.312,0.652,0,0.919,0,1.021
Ailuridae,Amphictis,aginensis,Inferred_teeth,0.259,1.092,0.053,1.106,0,1.19
Ailuridae,Amphictis,antiqua,Inferred_teeth,0.293,0.575,0.059,0.91,0,0.968
Ailuridae,Amphictis,borbonica,Inferred_teeth,0.264,0.57,0.053,0.9,0,0.964
Ailuridae,Amphictis,cuspida,Inferred_teeth,0.32,0.881,0.066,1.029,0,1.1
Ailuridae,Amphictis,lemanensis,Inferred_Phylogeny,0.351,0.778,0.107,0.981,0.103,1.054
Ailuridae,Amphictis,prolongata,Inferred_teeth,0.269,0.522,0.053,0.884,0,0.944
Ailuridae,Amphictis,schlosseri,Inferred_teeth,0.264,0.687,0.053,0.947,0,1.015
Ailuridae,Amphictis,wintershofensis,Inferred_teeth,0.289,0.523,0.058,0.884,0,0.944
Ailuridae,Magerictis,imperialensis,Inferred_Phylogeny,0.352,0.864,0.113,0.999,0.111,1.086
Ailuridae,Parailurus,anglicus,Inferred_teeth,0.257,1.012,0,1.039,0.07,1.144
Ailuridae,Parailurus,baikalicus,Inferred_teeth,0.275,1.193,0.069,1.112,0,1.224
Ailuridae,Parailurus,hungaricus,Inferred_Phylogeny,0.351,0.994,0.108,1.032,0.112,1.138
Ailuridae,Parailurus,NorthAmerica,Inferred_Phylogeny,0.343,1.032,0.107,1.047,0.103,1.154
Ailuridae,Pristinailurus,bristoli,Inferred_Phylogeny,0.424,0.912,0.142,1.006,0.142,1.104
Ailuridae,Protursus,simpsoni,Inferred_Phylogeny,0.483,1.284,0.145,1.197,0.143,1.275
Ailuridae,Simocyon,batalleri,Inferred_teeth,0.335,1.54,0,1.304,0,1.383
