Family,Genus,Species,Data_type,Size_Est,Size_sd,Teeth_Est,Teeth_sd
Hyaenodontidae,Acarictis,ryani,Inferred_Partial,-0.942,0.355,0.604,0.005
Hyaenodontidae,Akhnatenavus,leptognathus,Inferred_Complete,1.539,0.596,1.176,0
Hyaenodontidae,Akhnatenavus,nefertiticyon,Inferred_Complete,1.383,0.601,1.142,0
Hyaenodontidae,Alienetherium,buxwilleri,Inferred_Partial,0.29,0.52,0.924,0.006
Hyaenodontidae,Allopterodon,bulbosus,Inferred_Partial,-0.236,0.558,0.81,0.001
Hyaenodontidae,Allopterodon,minor,Inferred_Complete,-0.8,0.561,0.688,0
Hyaenodontidae,Allopterodon,torvidus,Inferred_Complete,-0.91,0.55,0.664,0
Hyaenodontidae,Altacreodus,magnus,Inferred_Complete,-0.801,0.417,0.698,0
Oxyaenidae,Ambloctonus,hyaenoides,Inferred_Complete,1.008,0.299,1.154,0
Oxyaenidae,Ambloctonus,major,Inferred_Complete,1.249,0.331,1.206,0
Oxyaenidae,Ambloctonus,priscus,Inferred_Phylogeny,0.818,0.57,1.113,0.108
Oxyaenidae,Ambloctonus,sinosus,Inferred_Complete,0.958,0.305,1.143,0
Hyaenodontidae,Anasinopa,hassi,Inferred_Partial,0.938,0.673,1.049,0.002
Hyaenodontidae,Anasinopa,leakeyi,Inferred_Complete,1.418,0.698,1.153,0
Oxyaenidae,Apataelurus,kayi,Inferred_Complete,1.389,0.418,1.197,0
Hyaenodontidae,Apterodon,altidens,Inferred_Complete,1.357,0.605,1.137,0
Hyaenodontidae,Apterodon,gaudryi,Inferred_Complete,1.424,0.625,1.151,0
Hyaenodontidae,Apterodon,intermedius,Inferred_Complete,1.272,0.602,1.118,0
Hyaenodontidae,Apterodon,langebadreae,Inferred_Complete,1.247,0.576,1.113,0
Hyaenodontidae,Apterodon,macrognathus,Inferred_Complete,1.561,0.598,1.181,0
Hyaenodontidae,Apterodon,saghensis,Inferred_Partial,0.884,0.574,1.034,0.002
Hyaenodontidae,Arfia,gingerichi,Inferred_Complete,-0.268,0.353,0.815,0
Hyaenodontidae,Arfia,junnei,Inferred_Complete,-0.208,0.35,0.827,0
Hyaenodontidae,Arfia,langebadreae,Inferred_Partial,-0.005,0.348,0.871,0.004
Hyaenodontidae,Arfia,opisthotoma,Inferred_Complete,0.428,0.328,0.966,0
Hyaenodontidae,Arfia,shoshoniensis,Measured,0.324,0,0.951,0
Hyaenodontidae,Arfia,zele,Inferred_Complete,0.085,0.344,0.891,0
Hyaenodontidae,Boritia,duffaudi,Inferred_Complete,0.048,0.459,0.871,0
Hyaenodontidae,Boualitomus,marocanensis,Inferred_Complete,-1.275,0.407,0.576,0
Hyaenodontidae,Brychotherium,ephalmos,Inferred_Complete,0.306,0.601,0.912,0
Hyaenodontidae,Brychotherium,ethiopicus,Inferred_Complete,0.426,0.602,0.938,0
Hyaenodontidae,Buhakia,mogharensis,Inferred_Partial,0.702,0.68,0.997,0.003
Hyaenodontidae,Cynohyaenodon,cailuxy,Inferred_Complete,-0.084,0.559,0.843,0
Hyaenodontidae,Cynohyaenodon,lautricensis,Inferred_Partial,-0.002,0.553,0.861,0.003
Hyaenodontidae,Cynohyaenodon,ruetimeyeri,Inferred_Complete,-0.057,0.528,0.849,0
Hyaenodontidae,Cynohyaenodon,trux,Inferred_Complete,-0.401,0.531,0.774,0
Oxyaenidae,Dipsalidictis,aequidens,Inferred_Complete,0.603,0.246,1.093,0
Oxyaenidae,Dipsalidictis,krausei,Measured,-0.096,0,1.06,0
Oxyaenidae,Dipsalidictis,platypus,Inferred_Complete,-0.058,0.308,0.957,0
Oxyaenidae,Dipsalidictis,transiens,Inferred_Complete,0.533,0.312,1.082,0
Oxyaenidae,Dipsalodon,churchillorum,Inferred_Complete,0.697,0.274,1.09,0
Oxyaenidae,Dipsalodon,matthewi,Inferred_Complete,0.949,0.267,1.142,0
Hyaenodontidae,Dissopsalis,carnifex,Inferred_Complete,1.68,0.745,1.209,0
Hyaenodontidae,Dissopsalis,pyroclasticus,Inferred_Complete,1.614,0.705,1.195,0
Hyaenodontidae,Eoproviverra,eisenmanni,Inferred_Partial,-2.002,0.489,0.428,0.002
Hyaenodontidae,Eurotherium,matthesi,Inferred_Complete,0.592,0.468,0.988,0
Hyaenodontidae,Eurotherium,theriodis,Inferred_Complete,0.696,0.511,1.011,0
Hyaenodontidae,Furodon,crocheti,Inferred_Complete,-0.051,0.508,0.832,0
