Family,Genus,Species,Size ,Source,Note
Barbourofelidae,Barbourofelis,morrisi,122,Anyonge (1993) Journal of Zoology 231 339-350,Median of measurements bsaed on equation for felids)
Felidae,Amphimachairodus,coloradensis,172,Anyonge (1993) Journal of Zoology 231 339-350,Median of measurements bsaed on equation for felids)
Felidae,Homotherium,serum,185,Anyonge (1993) Journal of Zoology 231 339-350,Median of measurements bsaed on equation for felids)
Felidae,Panthera,atrox,374,Anyonge (1993) Journal of Zoology 231 339-350,Median of measurements bsaed on equation for felids)
Felidae,Smilodon ,fatalis,391,Anyonge (1993) Journal of Zoology 231 339-350,Median of measurements bsaed on equation for felids)
Amphicyonidae,Adilophontes,brachykolos,137.5,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Amphicyon,frendens,432,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Amphicyon,galushai,191,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Amphicyon,ingens,579,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Amphicyon,major,209,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Borocyon,neomexicanus,87,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Daphoenodon,falkenbachi,137,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Daphoenodon,skinneri,40,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Daphoenus,hartshornianus,11,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Daphoenus,vetus,27,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Ischyrocyon,gidleyi,250,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Paradaphoenus,cuspigerus,4,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Pliocyon,medius,133,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Pseudocyon,sansaniensis,245,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Amphicyonidae,Ysengrinia,americana,185,Figueirido et al (2011) Acta Palaeontologica Polonica 56 225–246,Median of all metrics from table 6
Miacidae,Miacis,petilus,1.3,Heinrich & Houde (2006) Journal of Vertebrate Paleontology 26 422-435,Reported value
Miacidae,Vulpavus,canavus,4.5,Heinrich & Houde (2006) Journal of Vertebrate Paleontology 26 422-435,Reported mean
Viverravidae,Didymictis,protenus,5,Heinrich & Houde (2006) Journal of Vertebrate Paleontology 26 422-435,Reported mean
Viverravidae,Viverravus,acutus,0.24,Heinrich & Houde (2006) Journal of Vertebrate Paleontology 26 422-435,Median of measurements for Dataset III
Ailuridae,Ailurus,fulgens,4.9,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Atelocynus,microtis,7.75,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Canis,adustus,10.25,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Canis,aureus,10.345,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Canis,latrans,13.406,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Canis,lupus,32.183,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Canis,mesomelas,8.5,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Canis,rufus,22.983,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Canis,simensis,10,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Cerdocyon,thous,5.24,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Chrysocyon,brachyurus,23.25,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Cuon,alpinus,12.76,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Dusicyon,australis,50.004,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Dusicyon,avus,13,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Lycalopex,culpaeus,9.832,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Lycalopex,fulvipes,2.838,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Lycalopex,griseus,8.28,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Lycalopex,gymnocercus,4.69,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Lycalopex,sechurae,4,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Lycalopex,vetulus,5.35,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Lycaon,pictus,22.05,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Nyctereutes,procyonoides,4.04,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Otocyon,megalotis,4.15,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Speothos,venaticus,6,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Urocyon,cinereoargenteus,3.834,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Urocyon,littoralis,1.896,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,bengalensis,2.726,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,cana,0.937,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,chama,2.955,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,corsac,2.4,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,ferrilata,5,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,lagopus,4.868,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,macrotis,2.05,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,pallida,2.8,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,rueppellii,2.865,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,velox,2.198,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,vulpes,5.318,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,zerda,1.1,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Cryptoprocta,ferox,9.5,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Cryptoprocta,spelea,17,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Eupleres,goudotii,3,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Eupleres,major,2.712,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Fossa,fossana,1.5,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Galidia,elegans,0.8,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Galidictis,fasciata,0.55,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Galidictis,grandidieri,1.4,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Mungotictis,decemlineata,0.65,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Salanoia,concolor,0.65,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Acinonyx,jubatus,46.7,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Caracal,aurata,10.65,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Caracal,caracal,13.75,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Catopuma,badia,2.5,Faurby et al (2018) Ecology 99 2626,Reported value
