Auhtor,Year ,Journal ,Paper
"Abella J, Montoya P, Morales J",2011,Estudios Geológicos 67: 187 - 191,"A New species of Agriarctos (Ailuropodinae, Ursidae, Carnivora) in the locality of Nombrevilla 2 (Zaragoza, Spain)"
Andrews CW,1909,Book,"A descriptive catalogue of the Tertiary Vertebrata of the Fayum, Egypt. Based on the collection of the Egyptian government in the Geological museum, Cairo, and on the collection in the British museum (Natural history), London"
"Antoine PO, Métais G, Orliac MJ, Peigné S, Rafay S, Solé F, Vianey-Liaud M",2011,Comptes Rendus Palevol 10: 239 - 250,"A new late Early Oligocene vertebrate fauna from Moissac, South-West France"
Anyonge W,1993,Journal of Zoology 231: 339 - 350,Body mass in large extant and extinct carnivores
"Arribas A, Garrido G ",2007,Systematic Palaeontology 6: 545 - 555,"Meles iberica n. sp., a new Eurasian badger (Mammalia, Carnivora, Mustelidae) from Fonelas P-1 (Plio-Pleistocene boundary, Guadix Basin, Granada, Spain)"
"Astibia H, Morales J, Ginsburg L ",2000,Annales de Paléontologie 86: 69 -79,"Hemicyon mayorali nov. sp., Ursidae du Miocitne moyen de Tarazona de Aragon (bassin de l’Ebre, Aragon, Espagne)"
"Averianov A, Obraztsova E, Danilov I, Skutschas P, Jin J",2016,Scientific Reports 6: 25812,First nimravid skull from Asia
"Bajpai S, Kapur VV, Thewissen JGM",2009,Journal of the Palaeontological Society of India 54: 103 - 109,"Creodont and condylarth from the Cambay Shale (early Eocene, ~55-54 Ma), Vastan Lignite Mine, Gujarat, western India"
Banyue W ,1978,Vertebrata PalAsiatica 16: 91 - 96,"Two new Miacids from Paleocene of Navnsiung, Kwangtung"
Barrett PZ ,2016,PeerJ 4: e1658,"Taxonomic and systematic revisions to the North American Nimravidae (Mammalia, Carnivora)"
Barry JC,1988,Journal of Vertebrate Paleontology 8: 25 - 45,"Dissopsalis, a Middle and Late Miocene proviverrine creodont (Mammalia) from Pakistianand Kenya"
"Baryshnikov GF, Tsoukala E ",2010,Geobios 43: 389 - 402,"New analysis of the Pleistocene carnivores from Petralona Cave (Macedonia, Greece) based on the Collection of the Thessaloniki Aristotle University"
"Baryshnikov GF, Germonpre M, Baryshnikova S",2010,Russian Journal of Theriology 9: 93 - 104,Cave bear (Ursus spelaeus) from Chamber B of the Goyet Cave in Belgium
