Overall_group,Family,Genus,Species,Size_NOW,Size_Smith,Size_Phylacine,P4,M1,M2,m1,m2,m3,m1-m3,Source_P4,Note_P4,Source_M1,Note_M1,Source_M2,Note_M2,Source_m1,Note_m1,Source_m2,Note_m2,Source_m3,Note_m3,Source_m1-m3,Note_m1-m3,Status
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Prototomus,minimus,NA,NA,NA,2.95,3.1,3.65,3.62,4.12,3.6,NA,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported mean,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported mean,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported mean,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported mean,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Simpsonictis,jaynanneae,NA,NA,NA,3.82,NA,NA,3.07,NA,NA,NA,Rigby (1980) Evolutionary Monographs 3 1-178,Reported mean,NA,NA,NA,NA,Rigby (1980) Evolutionary Monographs 3 1-178,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Helogale,kitafe,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,Wesselman (1984) The Omo micromammals. Systematics and paleoecology of early man sites from Ethiopia,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Altacreodus,magnus,NA,NA,NA,3.9,5.06,4.5,5.18,5.15,4.65,NA,Lillegraven (1969) The University of Kansas Paleontological Contributions 50 1-122,Reported mean,Lillegraven (1969) The University of Kansas Paleontological Contributions 50 1-122,Reported mean,Lillegraven (1969) The University of Kansas Paleontological Contributions 50 1-122,Reported mean,Lillegraven (1969) The University of Kansas Paleontological Contributions 50 1-122,Midpoint of range,Lillegraven (1969) The University of Kansas Paleontological Contributions 50 1-122,Midpoint of range,Lillegraven (1969) The University of Kansas Paleontological Contributions 50 1-122,Midpoint of range,NA,NA,Accepted
Carnivoramorpha,Outside_extant_families,Palaeogale,minuta_NorthAmerica,NA,0.19,NA,4.06,NA,NA,3.99,NA,NA,NA,Hayes (2000) Bulletin of the Florida Museum of Natural History 43 1-47,Reported mean,NA,NA,NA,NA,Hayes (2000) Bulletin of the Florida Museum of Natural History 43 1-47,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Prolimnocyon,eerius,NA,NA,NA,4.1,4.1,4.1,NA,NA,NA,NA,Gingerich (1989) University of Michigan Papers on Paleontology 28 1-97,Reported value,Gingerich (1989) University of Michigan Papers on Paleontology 28 1-97,Reported value,Gingerich (1989) University of Michigan Papers on Paleontology 28 1-97,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Galecyon,morloi,NA,NA,NA,4.3,5.36,4.85,5.36,4.85,4.5,14.71,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported mean,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported mean,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Accepted
Carnivoramorpha,Mephetidae,Martinogale,faulli,NA,NA,NA,4.4,NA,NA,4.9,NA,NA,NA,Wang et al (2005) Journal of Vertebrate Paleontology 25 936-949,Reported value,NA,NA,NA,NA,Wang et al (2005) Journal of Vertebrate Paleontology 25 936-949,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Suricata,suricatta,NA,NA,0.73,4.4,NA,NA,4.4,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Reported mean,NA,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Viverravus,acutus,0.25,0.4,NA,4.42,NA,NA,4.57,NA,NA,NA,Polly (1997) Contributions from the Museum of Paleontology University of Michigan 30:1-53,Reported mean,NA,NA,NA,NA,Polly (1997) Contributions from the Museum of Paleontology University of Michigan 30:1-53,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Uintacyon,hookeri,NA,NA,NA,4.42,NA,NA,4.38,NA,NA,NA,Sole (2014) Palaeontology 57 963-978,Reported value,NA,NA,NA,NA,Sole (2014) Palaeontology 57 963-978,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Oodectes,jepseni,NA,0.48,NA,4.45,NA,NA,4.4,NA,NA,NA,Guthrie (1967) Memoirs of the Southern California Academy of Sciences 5 1-53 ,Midpoint of range,NA,NA,NA,NA,Guthrie (1967) Memoirs of the Southern California Academy of Sciences 5 1-53 ,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Leptoplesictis,filholi,0.37,NA,NA,4.5,NA,NA,NA,NA,NA,NA,Gaillard (1899) Archives du Museum d'histoire naturelle de Lyon 7 1-77,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Acheronictis,webbi,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Prototomus,girardoti,NA,NA,NA,4.55,NA,NA,4.4,NA,4.45,13.58,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,NA,NA,NA,NA,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,NA,NA,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Accepted
Carnivoramorpha,Viverravidae,Pappictidops,acies,NA,NA,NA,4.55,NA,NA,4.6,NA,NA,NA,Banyue (1978) Vertebrata PalAsiatica 16 91-96,Midpoint of range,NA,NA,NA,NA,Banyue (1978) Vertebrata PalAsiatica 16 91-96,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Sminthosinis,bowleri,NA,0.1,NA,4.6,NA,NA,9.02,NA,NA,NA,Tseng et al (2009) PaleoBios 29 13-23,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Cynictis,penicillata,NA,NA,0.84,4.7,NA,NA,5,NA,NA,NA,Cohen et al (2019) Palaeontologia Africana 53 97-113,Reported value,NA,NA,NA,NA,Cohen et al (2019) Palaeontologia Africana 53 97-113,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Prolimnocyon,haematus,NA,0.59,NA,4.75,4.8,4.8,4.63,4.92,3.09,3.09,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,NA,NA,Accepted
Carnivoramorpha,Mephetidae,Buisnictis,metabatos,NA,NA,NA,4.8,NA,NA,5.4,NA,NA,NA,"Wang et al (2014) Journal of Systematic Palaeontology 13,291-302",Reported value,NA,NA,NA,NA,"Wang et al (2014) Journal of Systematic Palaeontology 13,291-302",Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Bryanictis,paulus,NA,NA,NA,4.8,NA,NA,3.75,NA,NA,NA,Meehan & Wilson (2002) Journal of Paleontology 76: 1091-1101,Reported value,NA,NA,NA,NA,Meehan & Wilson (2002) Journal of Paleontology 76: 1091-1101,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Pristinictis,connata,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Miacis,deutschi,NA,0.66,NA,5,NA,NA,4.9,NA,NA,NA,Heinrich et al (2008) Journal of Paleontology 82 154-162,Reported value,NA,NA,NA,NA,Heinrich et al (2008) Journal of Paleontology 82 154-162,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Helogale,palaeogracilis,NA,NA,NA,5,NA,NA,4.5,NA,NA,NA,Cohen et al (2019) Palaeontologia Africana 53 97-113,Reported value,NA,NA,NA,NA,Cohen et al (2019) Palaeontologia Africana 53 97-113,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Ictidopappus,mustelinus,NA,0.27,NA,5,NA,NA,4.1,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Paroodectes,feisti,NA,NA,NA,5.1,NA,NA,4.9,NA,NA,NA,Springhorn (1980) Paläontologische Zeitschrift 54 171-198,Reported value,NA,NA,NA,NA,Springhorn (1980) Paläontologische Zeitschrift 54 171-198,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Xinyuictis,tenius,NA,NA,NA,5.1,NA,NA,4.5,NA,NA,NA,Heinrich et al (2008) Journal of Paleontology 82 154-162,Reported value,NA,NA,NA,NA,Heinrich et al (2008) Journal of Paleontology 82 154-162,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Koholia,atlasense,NA,NA,NA,5.2,6.3,7.5,NA,NA,NA,NA,"Crochet (1988) Comptes Rendus de l’Académie des Sciences, Paris 307 1795-1798",Reported value,"Crochet (1988) Comptes Rendus de l’Académie des Sciences, Paris 307 1795-1798",Reported value,"Crochet (1988) Comptes Rendus de l’Académie des Sciences, Paris 307 1795-1798",Reported value,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mephetidae,Spilogale,rexroadi,NA,0.54,NA,5.2,NA,NA,5.6,NA,NA,NA,"Wang et al (2014) Journal of Systematic Palaeontology 13,291-302",Reported value,NA,NA,NA,NA,"Wang et al (2014) Journal of Systematic Palaeontology 13,291-302",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Musteloidea_not_assigned_to_family,Mustelavus,priscus,NA,NA,NA,5.2,NA,NA,5.6,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,"Janis et al (1998) Evolution of Tertiary Mammals of North America. Volume 1. Terrestrial Carnivores, Ungulates, and Ungulate like Mammals ",Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Uintacyon,gingerichi,NA,NA,NA,5.2,NA,NA,4.8,NA,NA,NA,Heinrich et al (2008) Journal of Paleontology 82 154-162,Midpoint of range,NA,NA,NA,NA,Heinrich et al (2008) Journal of Paleontology 82 154-162,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Mungos,mungo,NA,NA,1.93,5.2,NA,NA,4.7,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Reported mean,NA,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mephetidae,Promephitis,parvus,NA,NA,NA,5.4,NA,NA,6.95,NA,NA,NA,Wang & Qiu (2004) Journal of Vertebrate Paleontology 24 721-731,Reported mean,NA,NA,NA,NA,Wang & Qiu (2004) Journal of Vertebrate Paleontology 24 721-731,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Plesictis,mayri,NA,NA,NA,5.4,NA,NA,5.55,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Thinocyon,velox,NA,1.62,NA,5.43,5.55,3.63,5.9,6.18,Not Present,NA,"Morlo & Gunnell (2003) Contributions from the Museum of Paleontology, University of Michigan 31 43-78",Midpoint of range,"Morlo & Gunnell (2003) Contributions from the Museum of Paleontology, University of Michigan 31 43-78",Midpoint of range,"Morlo & Gunnell (2003) Contributions from the Museum of Paleontology, University of Michigan 31 43-78",Midpoint of range,"Morlo & Gunnell (2003) Contributions from the Museum of Paleontology, University of Michigan 31 43-78",Midpoint of range,"Morlo & Gunnell (2003) Contributions from the Museum of Paleontology, University of Michigan 31 43-78",Midpoint of range,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Mustela,frenata,NA,0.07,0.15,5.47,NA,NA,5.96,NA,NA,NA,Paterson et al (2020) Zoological Journal of the Linnean Society 188 1318-1339,Reported value,NA,NA,NA,NA,Paterson et al (2020) Zoological Journal of the Linnean Society 188 1318-1339,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mephetidae,Buisnictis,meadensis,NA,NA,NA,5.5,NA,NA,6.11,NA,NA,NA,"Wang et al (2014) Journal of Systematic Palaeontology 13,291-302",Midpoint of range,NA,NA,NA,NA,"Wang et al (2014) Journal of Systematic Palaeontology 13,291-302",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Bryanictis,microlestes,NA,0.53,NA,5.5,NA,NA,4.55,NA,NA,NA,Meehan & Wilson (2002) Journal of Paleontology 76: 1091-1101,Reported value,NA,NA,NA,NA,Meehan & Wilson (2002) Journal of Paleontology 76: 1091-1101,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Leptocyon,delicatus,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Schultzogale,inexpecta,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,Wang et al (2004) Zoological Journal of the Linnean Society 142 405-421,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Otarocyon,macdonaldi,3,NA,NA,5.6,NA,NA,6.3,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Prototomus,deimos,NA,0.51,NA,5.6,4.35,5.3,4.58,5.13,5.34,NA,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported value,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported value,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,NA,NA,Accepted
Carnivoramorpha,Mephetidae,Promephitis,majori,NA,NA,NA,5.7,NA,NA,7.9,NA,NA,NA,Wang & Qiu (2004) Journal of Vertebrate Paleontology 24 721-731,Reported value,NA,NA,NA,NA,Wang & Qiu (2004) Journal of Vertebrate Paleontology 24 721-731,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Mungos,dietrichi,NA,NA,NA,5.8,NA,NA,5.8,NA,NA,NA,Cohen et al (2019) Palaeontologia Africana 53 97-113,Reported value,NA,NA,NA,NA,Cohen et al (2019) Palaeontologia Africana 53 97-113,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Musteloidea_not_assigned_to_family,Mustelictis,olivieri,NA,NA,NA,5.8,NA,NA,5,NA,NA,NA,Paterson et al (2020) Zoological Journal of the Linnean Society 188 1318-1339,Reported value,NA,NA,NA,NA,Paterson et al (2020) Zoological Journal of the Linnean Society 188 1318-1339,Reported value,NA,NA,NA,NA,NA,NA,Accepted
